BUSYBOX,PanSampler,,CSB,,SMTSampler,,GuidedSampler,
FDR,#sol,time,#sol,time,#sol,time,#sol,time
70%,9,0.2,--,--,--,--,--,--
80%,20,0.4,--,--,--,--,--,--
90%,--,--,--,--,--,--,--,--
95%,--,--,--,--,--,--,--,--
98%,--,--,--,--,--,--,--,--
99%,--,--,--,--,--,--,--,--
99.5%,--,--,--,--,--,--,--,--
,,,,,,,,
DRUPAL,PanSampler,,CSB,,SMTSampler,,GuidedSampler,
FDR,#sol,time,#sol,time,#sol,time,#sol,time
70%,5,0.1,--,--,--,--,--,--
80%,8,0.2,--,--,--,--,--,--
90%,--,--,--,--,--,--,--,--
95%,--,--,--,--,--,--,--,--
98%,--,--,--,--,--,--,--,--
99%,--,--,--,--,--,--,--,--
99.5%,--,--,--,--,--,--,--,--
,,,,,,,,
FLEX,PanSampler,,CSB,,SMTSampler,,GuidedSampler,
FDR,#sol,time,#sol,time,#sol,time,#sol,time
70%,3,0.1,--,--,13,0.1,2,0.0
80%,3,0.1,--,--,13,0.1,4,0.0
90%,3,0.1,--,--,126,0.1,18,0.1
95%,454,2.9,--,--,--,--,--,--
98%,454,2.9,--,--,--,--,--,--
99%,--,--,--,--,--,--,--,--
99.5%,--,--,--,--,--,--,--,--
,,,,,,,,
GREP,PanSampler,,CSB,,SMTSampler,,GuidedSampler,
FDR,#sol,time,#sol,time,#sol,time,#sol,time
70%,1,0.1,--,--,17,0.1,14,0.1
80%,3,0.1,--,--,17,0.1,14,0.1
90%,11,0.4,--,--,110,0.2,94,0.4
95%,32,1.2,--,--,371,0.5,159,0.4
98%,32,1.2,--,--,371,0.5,159,0.4
99%,32,1.2,--,--,371,0.5,159,0.4
99.5%,32,1.2,--,--,371,0.5,159,0.4
,,,,,,,,
GZIP,PanSampler,,CSB,,SMTSampler,,GuidedSampler,
FDR,#sol,time,#sol,time,#sol,time,#sol,time
70%,1,0.1,4,0.1,1,0.0,3,0.0
80%,1,0.1,4,0.1,1,0.0,3,0.0
90%,4,0.1,--,--,20,0.1,5,0.0
95%,4,0.1,--,--,20,0.1,5,0.0
98%,4,0.1,--,--,20,0.1,5,0.0
99%,4,0.1,--,--,20,0.1,5,0.0
99.5%,4,0.1,--,--,20,0.1,5,0.0
,,,,,,,,
LINUX,PanSampler,,CSB,,SMTSampler,,GuidedSampler,
FDR,#sol,time,#sol,time,#sol,time,#sol,time
70%,24,1.1,--,--,--,--,--,--
80%,--,--,--,--,--,--,--,--
90%,--,--,--,--,--,--,--,--
95%,--,--,--,--,--,--,--,--
98%,--,--,--,--,--,--,--,--
99%,--,--,--,--,--,--,--,--
99.5%,--,--,--,--,--,--,--,--
,,,,,,,,
MAKE,PanSampler,,CSB,,SMTSampler,,GuidedSampler,
FDR,#sol,time,#sol,time,#sol,time,#sol,time
70%,5,0.1,--,--,--,--,--,--
80%,5,0.1,--,--,--,--,--,--
90%,5,0.1,--,--,--,--,--,--
95%,5,0.1,--,--,--,--,--,--
98%,5,0.1,--,--,--,--,--,--
99%,5,0.1,--,--,--,--,--,--
99.5%,5,0.1,--,--,--,--,--,--
,,,,,,,,
NANOXML,PanSampler,,CSB,,SMTSampler,,GuidedSampler,
FDR,#sol,time,#sol,time,#sol,time,#sol,time
70%,2,0.0,--,--,--,--,--,--
80%,2,0.0,--,--,--,--,--,--
90%,3,0.1,--,--,--,--,--,--
95%,--,--,--,--,--,--,--,--
98%,--,--,--,--,--,--,--,--
99%,--,--,--,--,--,--,--,--
99.5%,--,--,--,--,--,--,--,--
,,,,,,,,
SED,PanSampler,,CSB,,SMTSampler,,GuidedSampler,
FDR,#sol,time,#sol,time,#sol,time,#sol,time
70%,13,0.4,--,--,16,0.1,28,0.1
80%,40,1.2,--,--,39,0.2,120,0.2
90%,72,2.2,--,--,287,0.8,264,0.6
95%,74,2.2,--,--,287,0.8,264,0.6
98%,253,7.7,--,--,299,0.8,270,0.6
99%,253,7.7,--,--,299,0.8,270,0.6
99.5%,253,7.7,--,--,299,0.8,270,0.6
,,,,,,,,
