Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,6,187.8,,17,194.0,,17,194.0,,9,135.3,,9,135.3,,8,8.9
QF_BV/RWS/Example_8.txt,,5,67.4,,15,88.3,,15,88.3,,13,96.2,,12,96.2,,6,2.1
QF_BV/RWS/Example_9.txt,,5,287.7,,6,2633.2,,6,2633.2,,7,271.4,,7,271.4,,7,2138.0
QF_BV/RWS/Example_10.txt,,7,248.7,,9,905.5,,9,905.5,,9,182.5,,9,182.5,,9,91.7
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,12,375.8,,12,375.8,,- -,- -
QF_BV/RWS/Example_12.txt,,4,1010.1,,6,1230.5,,6,1230.5,,6,122.6,,6,122.6,,6,2058.9
QF_BV/RWS/Example_13.txt,,5,113.8,,6,256.4,,6,256.4,,6,111.1,,6,111.1,,6,41.1
QF_BV/RWS/Example_16.txt,,8,140.9,,11,1135.2,,11,1135.2,,10,191.9,,10,191.9,,9,22.5
QF_BV/RWS/Example_17.txt,,5,182.0,,7,1135.3,,7,1135.3,,5,167.4,,5,167.4,,6,50.6
QF_BV/sage/app1/bench_4,,2,151.2,,4,402.4,,4,402.4,,2,150.1,,2,150.1,,- -,- -
QF_BV/sage/app1/bench_29,,2,69.1,,6,409.7,,6,409.7,,3,156.8,,3,156.8,,- -,- -
QF_BV/sage/app1/bench_32,,2,70.7,,3,357.9,,3,357.9,,5,163.4,,5,163.4,,- -,- -
QF_BV/sage/app1/bench_37,,2,162.7,,2,577.2,,2,577.2,,2,153.4,,2,153.4,,- -,- -
QF_BV/sage/app1/bench_47,,2,52.6,,2,214.0,,2,214.0,,5,181.6,,5,181.6,,- -,- -
QF_BV/sage/app1/bench_52,,2,52.6,,5,379.0,,5,379.0,,5,152.3,,5,152.3,,- -,- -
QF_BV/sage/app1/bench_53,,2,58.3,,37,680.4,,33,680.4,,2,134.3,,2,134.3,,- -,- -
QF_BV/sage/app1/bench_54,,2,54.5,,9,578.3,,9,578.3,,3,146.1,,3,146.1,,2,3273.5
QF_BV/sage/app1/bench_55,,2,53.7,,6,354.6,,6,354.6,,23,442.1,,20,442.1,,- -,- -
QF_BV/sage/app1/bench_60,,2,45.3,,7,513.7,,7,513.7,,38,502.1,,35,502.1,,- -,- -
QF_BV/sage/app1/bench_61,,2,46.6,,11,396.0,,11,396.0,,32,412.8,,29,412.8,,- -,- -
QF_BV/sage/app1/bench_62,,2,53.4,,22,434.2,,21,434.2,,3,130.1,,3,130.1,,- -,- -
QF_BV/sage/app1/bench_63,,2,53.9,,5,396.7,,5,396.7,,7,148.4,,7,148.4,,- -,- -
QF_BV/sage/app1/bench_66,,2,57.4,,8,453.4,,8,453.4,,7,138.3,,6,168.8,,- -,- -
QF_BV/sage/app1/bench_69,,2,46.1,,21,334.2,,21,334.2,,8,191.6,,8,191.6,,- -,- -
