Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,99,1356.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,279,306.7
QF_BV/RWS/Example_8.txt,,31,163.4,,- -,- -,,88,1195.3,,102,813.1,,78,833.4,,64,15.1
QF_BV/RWS/Example_9.txt,,54,2444.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_10.txt,,128,2568.3,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,315,2433.4
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,89,3098.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,211,929.1
QF_BV/RWS/Example_16.txt,,85,1563.4,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,180,497.2
QF_BV/RWS/Example_17.txt,,75,1777.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,159,979.2
QF_BV/sage/app1/bench_4,,14,757.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app1/bench_29,,16,296.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app1/bench_32,,17,356.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app1/bench_37,,15,518.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app1/bench_47,,18,312.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app1/bench_52,,17,262.4,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app1/bench_53,,16,262.4,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
