Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a403test0043,,2,0.0,,8,0.0,,8,0.0,,8,0.1,,8,0.1,,2,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a639test0017,,31,0.4,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,2,0.0
QF_BV/bench_ab/a651test0090,,16,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,5,0.0
QF_BV/bench_ab/a655test0003,,35,0.2,,9,0.0,,9,0.0,,9,0.1,,9,0.1,,2,0.0
QF_BV/bench_ab/a659test0071,,22,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,2,0.0
QF_BV/bench_ab/a668test0098,,2,1.3,,8,0.1,,7,0.1,,8,0.0,,7,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,2,2.7,,31,21.3,,31,21.3,,24,21.3,,23,21.3,,3,0.5
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,2,3.1,,33,43.0,,32,42.0,,24,23.6,,24,30.2,,3,0.5
QF_BV/bmc-bv/ex19,,3,63.4,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,16,522.0
QF_BV/bmc-bv/fermat,,3,7.8,,4,16.0,,4,16.0,,5,60.4,,5,60.4,,- -,- -
QF_BV/bmc-bv/graycode,,1,1.5,,1,0.1,,1,0.1,,1,0.2,,1,0.2,,1,0.1
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bmc-bv/magic,,1,6.1,,1,0.9,,1,0.9,,1,5.4,,1,5.4,,1,5.3
QF_BV/bmc-bv/queens,,1,2.5,,1,0.2,,1,0.2,,1,0.3,,1,0.3,,1,0.3
QF_BV/bmc-bv/sudoku,,1,33.5,,1,1.1,,1,1.1,,1,10.4,,1,10.4,,1,427.7
QF_BV/brummayerbiere2/smulov4bw0256,,2,748.9,,3,241.4,,3,241.4,,2,160.4,,2,160.4,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,2,5.7,,29,6.0,,29,6.0,,29,12.7,,29,12.7,,3,788.1
QF_BV/brummayerbiere2/smulov4bw0128,,2,62.5,,32,65.9,,32,65.9,,60,144.3,,60,144.3,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0032,,2,1.3,,14,0.7,,14,0.7,,14,0.7,,14,0.7,,3,0.3
QF_BV/gulwani-pldi08/fig1d.phx,,4,90.2,,46,375.3,,34,375.3,,54,531.0,,35,301.7,,5,140.3
QF_BV/gulwani-pldi08/fig5.phx,,3,36.5,,77,202.0,,53,202.0,,296,717.7,,219,717.7,,4,99.8
QF_BV/gulwani-pldi08/fig6.phx,,4,12.7,,75,46.4,,53,52.9,,- -,- -,,66,128.0,,13,2.8
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,3,37.9,,150,453.0,,91,373.9,,134,533.4,,79,533.4,,5,30.3
QF_BV/RWS/Example_1.txt,,5,24.0,,10,52.1,,10,52.1,,10,64.7,,10,64.7,,9,1.3
QF_BV/RWS/Example_2.txt,,5,19.1,,12,55.0,,12,95.5,,11,103.5,,11,103.5,,7,1.0
QF_BV/RWS/Example_4.txt,,4,14.8,,10,40.8,,10,40.8,,14,65.5,,14,70.9,,5,0.7
QF_BV/RWS/Example_5.txt,,4,17.2,,5,32.8,,5,32.8,,10,68.6,,10,58.7,,7,1.1
QF_BV/RWS/Example_6.txt,,4,8.0,,8,28.1,,8,28.1,,6,33.3,,6,33.3,,4,0.2
QF_BV/RWS/Example_14.txt,,5,33.2,,11,145.3,,11,106.4,,12,104.3,,12,104.3,,9,11.9
QF_BV/sage/app1/bench_1141,,2,4.9,,43,170.9,,39,192.3,,40,117.0,,35,117.0,,3,0.6
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,- -,- -
QF_BV/sage/app1/bench_1262,,2,3.0,,34,21.4,,34,23.4,,34,22.5,,33,24.1,,2,0.6
QF_BV/sage/app1/bench_1288,,2,3.8,,11,4.0,,11,4.0,,13,4.7,,13,4.7,,2,0.7
QF_BV/sage/app1/bench_1339,,2,2.1,,4,12.1,,4,12.1,,4,15.2,,4,15.2,,2,0.5
QF_BV/sage/app1/bench_1346,,2,2.6,,24,6.5,,24,6.8,,24,10.6,,24,10.6,,2,0.3
QF_BV/sage/app1/bench_1710,,2,0.1,,22,0.3,,20,0.2,,22,0.3,,20,0.2,,3,0.0
