Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,8,0.1,,8,0.1,,8,0.1,,8,0.1,,2,0.0
QF_BV/bench_ab/a403test0043,,4,0.0,,12,0.1,,12,0.1,,12,0.1,,12,0.1,,4,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a639test0017,,36,0.3,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,5,0.0
QF_BV/bench_ab/a651test0090,,18,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,8,0.0
QF_BV/bench_ab/a655test0003,,41,0.2,,9,0.0,,9,0.0,,9,0.1,,9,0.1,,3,0.0
QF_BV/bench_ab/a659test0071,,30,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,10,0.0
QF_BV/bench_ab/a668test0098,,2,0.0,,8,0.1,,7,0.1,,8,0.1,,7,0.1,,4,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,5,6.9,,68,59.3,,60,59.3,,71,138.9,,61,137.9,,14,1.3
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,5,5.1,,72,76.7,,64,116.3,,69,222.2,,59,153.1,,10,1.1
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,9.4,,7,36.5,,7,36.5,,29,179.1,,12,122.7,,- -,- -
QF_BV/bmc-bv/graycode,,3,5.4,,9,5.1,,8,5.1,,9,4.9,,8,4.9,,5,0.4
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bmc-bv/magic,,3,14.8,,4,17.0,,4,17.0,,3,15.4,,3,15.4,,4,17.9
QF_BV/bmc-bv/queens,,4,8.9,,8,4.3,,8,4.3,,8,11.7,,8,11.7,,6,1.1
QF_BV/bmc-bv/sudoku,,1,33.5,,1,1.1,,1,1.1,,1,10.4,,1,10.4,,1,427.7
QF_BV/brummayerbiere2/smulov4bw0256,,5,1156.1,,9,711.1,,9,711.1,,11,407.8,,11,407.8,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,4,11.4,,62,14.6,,62,14.6,,62,30.6,,62,30.6,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0128,,5,110.2,,120,227.5,,79,227.5,,123,310.2,,123,310.2,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0032,,4,2.3,,30,2.0,,30,2.0,,30,1.9,,30,1.9,,9,0.8
QF_BV/gulwani-pldi08/fig1d.phx,,15,357.4,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/gulwani-pldi08/fig5.phx,,9,90.6,,385,1155.9,,170,1155.9,,574,1211.2,,240,1211.2,,18,450.6
QF_BV/gulwani-pldi08/fig6.phx,,14,40.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,239,83.6
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,9,52.6,,190,764.3,,106,764.3,,174,893.3,,103,893.3,,52,272.4
QF_BV/RWS/Example_1.txt,,54,203.0,,512,1187.8,,152,1196.6,,434,3276.2,,145,2767.0,,233,40.4
QF_BV/RWS/Example_2.txt,,29,92.7,,82,714.5,,72,714.5,,86,888.5,,74,937.4,,63,7.9
QF_BV/RWS/Example_4.txt,,13,40.9,,64,530.7,,45,452.7,,70,986.5,,44,541.0,,55,7.7
QF_BV/RWS/Example_5.txt,,12,39.5,,34,216.5,,31,167.3,,39,353.0,,34,290.0,,30,4.1
