Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,6,67.2,,6,96.2,,6,53.6,,6,39.3
QF_BV/RWS/Example_8.txt,,5,65.0,,5,23.3,,5,33.9,,5,24.9
QF_BV/RWS/Example_9.txt,,6,333.7,,6,165.5,,6,237.4,,6,126.7
QF_BV/RWS/Example_10.txt,,7,239.0,,7,148.7,,7,123.7,,7,132.0
QF_BV/RWS/Example_11.txt,,- -,- -,,10,3205.3,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,4,940.9,,4,546.6,,4,1008.3,,5,1008.4
QF_BV/RWS/Example_13.txt,,5,102.8,,5,76.8,,5,62.8,,5,64.8
QF_BV/RWS/Example_16.txt,,8,183.7,,8,77.4,,9,152.4,,8,134.1
QF_BV/RWS/Example_17.txt,,5,165.7,,5,89.2,,5,124.5,,5,120.7
QF_BV/sage/app1/bench_4,,2,147.2,,2,118.7,,2,128.0,,2,78.4
QF_BV/sage/app1/bench_29,,2,58.6,,2,47.8,,2,47.2,,2,29.1
QF_BV/sage/app1/bench_32,,2,74.1,,2,26.9,,2,77.4,,2,31.2
QF_BV/sage/app1/bench_37,,2,157.6,,2,92.6,,2,131.5,,2,65.3
QF_BV/sage/app1/bench_47,,2,65.2,,2,38.2,,2,51.4,,2,22.2
QF_BV/sage/app1/bench_52,,2,65.6,,2,33.0,,2,38.1,,2,25.3
QF_BV/sage/app1/bench_53,,2,51.5,,2,33.0,,2,58.2,,2,24.2
QF_BV/sage/app1/bench_54,,2,52.1,,2,34.8,,2,71.1,,2,24.4
QF_BV/sage/app1/bench_55,,2,62.1,,2,78.1,,2,53.0,,2,29.9
QF_BV/sage/app1/bench_60,,2,50.5,,2,36.8,,2,77.4,,2,19.0
QF_BV/sage/app1/bench_61,,2,49.1,,2,41.0,,2,24.0,,2,23.2
QF_BV/sage/app1/bench_62,,2,62.7,,2,47.8,,2,32.0,,2,27.0
QF_BV/sage/app1/bench_63,,2,54.0,,2,27.1,,2,34.6,,2,27.1
QF_BV/sage/app1/bench_66,,2,29.4,,2,30.2,,2,32.7,,2,21.9
QF_BV/sage/app1/bench_69,,2,76.6,,2,38.3,,2,34.4,,2,22.2
QF_BV/sage/app1/bench_99,,2,46.0,,2,48.9,,2,61.1,,2,20.2
QF_BV/sage/app1/bench_134,,2,53.8,,3,37.7,,2,80.1,,2,24.5
QF_BV/sage/app1/bench_169,,2,77.3,,2,19.4,,2,29.9,,2,22.5
QF_BV/sage/app1/bench_174,,2,48.1,,2,21.1,,2,30.7,,2,20.6
QF_BV/sage/app1/bench_175,,2,49.8,,2,33.9,,2,51.4,,2,22.6
QF_BV/sage/app1/bench_176,,2,61.6,,2,49.0,,2,51.0,,2,20.1
QF_BV/sage/app1/bench_177,,2,56.1,,2,63.5,,2,33.6,,2,24.4
QF_BV/sage/app1/bench_181,,2,231.7,,2,240.9,,2,153.6,,2,76.3
QF_BV/sage/app1/bench_182,,2,52.4,,2,25.7,,2,30.7,,3,25.7
QF_BV/sage/app1/bench_183,,2,79.6,,2,29.9,,2,32.0,,2,21.1
QF_BV/sage/app1/bench_184,,2,96.6,,3,35.2,,2,61.0,,2,24.0
QF_BV/sage/app1/bench_185,,2,45.2,,2,32.0,,2,32.6,,2,20.1
QF_BV/sage/app1/bench_188,,2,51.7,,2,32.8,,2,30.5,,2,23.9
QF_BV/sage/app1/bench_191,,2,47.1,,2,30.2,,2,35.0,,2,24.1
QF_BV/sage/app1/bench_201,,2,49.1,,2,37.6,,2,27.7,,2,25.7
QF_BV/sage/app1/bench_268,,2,75.3,,3,34.0,,2,30.3,,2,19.3
