Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,100,770.8,,99,1241.7,,210,1801.0,,109,927.1
QF_BV/RWS/Example_8.txt,,31,165.6,,33,195.4,,49,219.8,,34,123.6
QF_BV/RWS/Example_9.txt,,52,3156.6,,58,2504.4,,89,2908.4,,56,1463.3
QF_BV/RWS/Example_10.txt,,- -,- -,,- -,- -,,- -,- -,,131,2748.0
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,89,1592.4,,94,1539.9,,179,2426.8,,95,1537.8
QF_BV/RWS/Example_16.txt,,86,1728.2,,90,1900.9,,148,2028.2,,92,1265.1
QF_BV/RWS/Example_17.txt,,77,1481.7,,83,1748.4,,120,3062.6,,81,1189.6
QF_BV/sage/app1/bench_4,,14,692.8,,35,1298.3,,35,1815.3,,17,399.4
QF_BV/sage/app1/bench_29,,16,603.6,,19,227.9,,72,685.4,,23,118.0
QF_BV/sage/app1/bench_32,,17,281.7,,18,202.5,,85,1985.5,,23,188.3
QF_BV/sage/app1/bench_37,,14,803.2,,35,2676.3,,28,1239.2,,17,374.4
QF_BV/sage/app1/bench_47,,18,199.8,,24,271.0,,83,1169.8,,24,154.1
QF_BV/sage/app1/bench_52,,18,284.6,,24,554.3,,109,1161.8,,24,147.3
QF_BV/sage/app1/bench_53,,16,276.4,,23,561.0,,114,1325.8,,24,99.9
QF_BV/sage/app1/bench_54,,18,289.8,,28,274.7,,69,568.8,,28,166.7
QF_BV/sage/app1/bench_55,,17,237.2,,24,172.2,,138,1721.3,,23,177.8
QF_BV/sage/app1/bench_60,,17,276.4,,21,236.0,,93,732.8,,25,99.6
QF_BV/sage/app1/bench_61,,18,292.3,,24,242.7,,114,1403.4,,24,165.1
QF_BV/sage/app1/bench_62,,18,267.5,,25,260.4,,71,1455.6,,24,154.4
QF_BV/sage/app1/bench_63,,18,238.8,,24,265.2,,87,1384.0,,28,183.8
QF_BV/sage/app1/bench_66,,18,517.1,,24,281.2,,92,1179.1,,26,279.5
QF_BV/sage/app1/bench_69,,18,276.1,,23,243.3,,114,1456.5,,25,134.3
QF_BV/sage/app1/bench_99,,18,292.1,,22,182.6,,95,973.1,,25,104.8
QF_BV/sage/app1/bench_134,,17,280.1,,24,495.5,,90,921.5,,26,157.2
QF_BV/sage/app1/bench_169,,16,230.6,,24,213.2,,94,847.9,,23,147.4
QF_BV/sage/app1/bench_174,,16,229.6,,26,263.5,,77,790.3,,24,148.3
QF_BV/sage/app1/bench_175,,18,402.2,,24,204.0,,104,1080.2,,23,144.1
QF_BV/sage/app1/bench_176,,18,259.7,,24,213.0,,106,1172.6,,23,139.6
QF_BV/sage/app1/bench_177,,17,270.8,,21,212.0,,75,718.6,,25,161.6
