Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,6,0.1,,2,0.0,,2,0.1
QF_BV/bench_ab/a403test0043,,3,0.0,,153,1.1,,3,0.0,,4,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a639test0017,,8,0.1,,221,3.6,,6,0.2,,49,0.3
QF_BV/bench_ab/a651test0090,,13,0.1,,39,0.6,,48,0.3,,31,0.1
QF_BV/bench_ab/a655test0003,,10,0.0,,39,0.3,,4,0.0,,34,0.2
QF_BV/bench_ab/a659test0071,,16,0.1,,39,0.4,,59,0.7,,29,0.1
QF_BV/bench_ab/a668test0098,,2,0.0,,19,0.0,,2,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,6.4,,5,6.7,,6,3.6,,4,1.7
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,7.6,,4,7.4,,8,5.3,,4,1.4
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,4,9.2,,6,2.5,,5,12.9,,5,11.8
QF_BV/bmc-bv/graycode,,1,1.7,,1,0.7,,1,1.7,,1,1.6
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bmc-bv/magic,,1,6.0,,1,5.0,,1,10.7,,1,9.0
QF_BV/bmc-bv/queens,,2,6.0,,2,4.1,,2,5.6,,2,4.8
QF_BV/bmc-bv/sudoku,,1,40.9,,1,26.6,,1,30.7,,1,18.9
QF_BV/brummayerbiere2/smulov4bw0256,,4,1222.1,,- -,- -,,4,1532.4,,4,1186.6
QF_BV/brummayerbiere2/smulov4bw0064,,4,13.9,,- -,- -,,3,13.2,,4,15.0
QF_BV/brummayerbiere2/smulov4bw0128,,4,101.9,,- -,- -,,4,67.2,,4,82.6
QF_BV/brummayerbiere2/smulov4bw0032,,3,2.4,,- -,- -,,3,3.3,,3,2.2
QF_BV/gulwani-pldi08/fig1d.phx,,9,162.2,,13,89.0,,13,206.3,,10,127.4
QF_BV/gulwani-pldi08/fig5.phx,,6,70.9,,9,40.4,,8,70.2,,7,55.6
QF_BV/gulwani-pldi08/fig6.phx,,9,25.7,,13,6.6,,41,92.7,,10,23.2
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,6,53.0,,9,22.5,,7,50.0,,7,49.0
QF_BV/RWS/Example_1.txt,,23,65.4,,23,51.2,,33,74.0,,25,53.9
QF_BV/RWS/Example_2.txt,,14,29.4,,15,40.5,,16,30.1,,15,36.4
QF_BV/RWS/Example_4.txt,,10,49.3,,11,44.2,,10,29.1,,10,26.6
QF_BV/RWS/Example_5.txt,,7,25.5,,7,20.6,,8,20.1,,8,19.9
QF_BV/RWS/Example_6.txt,,6,12.4,,7,18.5,,7,10.9,,6,6.6
QF_BV/RWS/Example_14.txt,,22,97.7,,23,96.3,,27,102.3,,24,60.2
QF_BV/sage/app1/bench_1141,,3,5.8,,29,29.2,,4,6.7,,4,5.1
QF_BV/sage/app1/bench_1258,,1,0.0,,- -,- -,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,4,6.9,,11,8.2,,5,7.2,,4,7.3
QF_BV/sage/app1/bench_1288,,4,7.4,,4,2.5,,4,9.8,,4,5.7
QF_BV/sage/app1/bench_1339,,3,3.8,,4,2.1,,3,5.8,,4,4.4
QF_BV/sage/app1/bench_1346,,3,3.2,,5,2.2,,4,6.8,,4,3.7
QF_BV/sage/app1/bench_1710,,4,0.1,,- -,- -,,18,0.3,,5,0.1
QF_BV/sage/app1/bench_1738,,5,0.1,,- -,- -,,5,0.1,,123,2.0
QF_BV/sage/app1/bench_1742,,3,0.3,,622,40.8,,5,0.3,,3,0.1
QF_BV/sage/app1/bench_1768,,3,0.1,,- -,- -,,3,0.1,,3,0.1
QF_BV/sage/app12/bench_228,,4,0.1,,- -,- -,,3,0.1,,3,0.1
QF_BV/sage/app12/bench_363,,2,0.2,,7,0.4,,2,0.2,,2,0.1
QF_BV/sage/app12/bench_446,,2,0.1,,- -,- -,,3,0.1,,2,0.1
QF_BV/sage/app12/bench_451,,3,0.0,,- -,- -,,3,0.1,,3,0.0
QF_BV/sage/app12/bench_953,,3,0.1,,58,0.6,,3,0.1,,3,0.1
QF_BV/sage/app12/bench_1051,,5,12.1,,6,7.5,,5,15.8,,5,15.2
QF_BV/sage/app12/bench_1183,,5,26.5,,6,15.4,,7,32.4,,5,14.7
QF_BV/sage/app12/bench_1353,,8,5.5,,- -,- -,,8,0.8,,2,0.8
QF_BV/sage/app12/bench_2353,,32,167.6,,- -,- -,,27,12.0,,11,10.7
QF_BV/sage/app12/bench_2428,,17,16.0,,- -,- -,,9,1.6,,2,1.3
QF_BV/sage/app12/bench_2451,,11,9.4,,- -,- -,,11,1.6,,2,1.0
QF_BV/sage/app12/bench_3681,,3,0.0,,- -,- -,,3,0.0,,3,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,- -,- -,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3921,,75,1.0,,- -,- -,,25,0.3,,- -,- -
QF_BV/sage/app12/bench_3957,,26,0.1,,- -,- -,,72,0.4,,21,0.0
QF_BV/sage/app12/bench_4059,,18,1.4,,- -,- -,,7,0.0,,31,0.1
QF_BV/sage/app12/bench_4177,,3,0.1,,- -,- -,,2,0.0,,3,0.0
QF_BV/sage/app12/bench_4845,,2,0.0,,15,0.1,,3,0.1,,3,0.1
QF_BV/sage/app12/bench_5599,,2,0.1,,- -,- -,,3,0.1,,2,0.1
QF_BV/sage/app2/bench_48,,27,9.8,,- -,- -,,74,9.5,,- -,- -
QF_BV/sage/app2/bench_225,,5,8.0,,- -,- -,,6,7.0,,6,6.1
QF_BV/sage/app2/bench_278,,4,9.4,,- -,- -,,4,7.0,,4,6.2
QF_BV/sage/app2/bench_282,,3,6.6,,324,315.4,,4,9.6,,3,6.9
QF_BV/sage/app2/bench_458,,6,0.1,,- -,- -,,9,0.1,,7,0.1
QF_BV/sage/app2/bench_642,,7,8.8,,- -,- -,,10,11.6,,12,9.4
QF_BV/sage/app2/bench_645,,4,2.6,,9,4.2,,7,4.2,,4,2.3
QF_BV/sage/app2/bench_664,,9,11.2,,- -,- -,,12,13.7,,13,9.4
QF_BV/sage/app2/bench_719,,10,10.2,,- -,- -,,17,16.5,,13,7.2
QF_BV/sage/app2/bench_830,,15,15.4,,- -,- -,,27,22.0,,19,11.9
QF_BV/sage/app2/bench_863,,5,9.9,,659,748.0,,4,5.4,,5,5.5
QF_BV/sage/app2/bench_1196,,5,9.0,,- -,- -,,5,7.8,,5,5.8
QF_BV/sage/app2/bench_1387,,14,196.3,,- -,- -,,22,119.2,,18,53.4
QF_BV/sage/app5/bench_42,,4,5.7,,52,7.4,,4,5.4,,5,6.3
QF_BV/sage/app5/bench_349,,4,9.8,,- -,- -,,4,7.8,,4,8.9
QF_BV/sage/app5/bench_357,,4,7.7,,- -,- -,,4,9.8,,4,9.4
QF_BV/sage/app5/bench_575,,4,0.1,,- -,- -,,4,0.2,,4,0.1
QF_BV/sage/app5/bench_742,,2,0.2,,5,0.5,,2,0.2,,2,0.2
QF_BV/sage/app5/bench_794,,2,0.0,,- -,- -,,2,0.0,,2,0.0
QF_BV/sage/app5/bench_931,,4,0.7,,- -,- -,,4,0.7,,4,0.6
