Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,59,0.5,,3,0.0,,2,0.0
QF_BV/bench_ab/a403test0043,,4,0.0,,153,1.8,,4,0.6,,4,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.1,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.2,,1,0.1
QF_BV/bench_ab/a639test0017,,14,0.2,,221,3.4,,39,0.4,,48,0.2
QF_BV/bench_ab/a651test0090,,32,0.1,,39,0.6,,94,0.6,,33,0.1
QF_BV/bench_ab/a655test0003,,35,0.2,,39,0.4,,61,0.3,,50,0.6
QF_BV/bench_ab/a659test0071,,34,0.2,,39,1.2,,15,0.1,,40,0.6
QF_BV/bench_ab/a668test0098,,3,0.0,,19,0.1,,2,0.0,,3,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,5,3.5,,7,6.0,,7,4.0,,5,1.8
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,4.6,,6,9.4,,5,2.6,,5,1.9
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,6,15.0,,8,1.1,,9,20.0,,6,14.4
QF_BV/bmc-bv/graycode,,3,4.2,,3,1.7,,5,6.6,,3,4.2
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bmc-bv/magic,,2,10.7,,3,6.9,,3,13.8,,3,11.6
QF_BV/bmc-bv/queens,,4,9.5,,4,3.6,,4,8.3,,4,6.5
QF_BV/bmc-bv/sudoku,,1,46.2,,1,21.2,,1,54.6,,1,28.1
QF_BV/brummayerbiere2/smulov4bw0256,,5,816.4,,- -,- -,,5,1721.8,,5,1153.7
QF_BV/brummayerbiere2/smulov4bw0064,,4,10.2,,- -,- -,,5,20.4,,5,19.5
QF_BV/brummayerbiere2/smulov4bw0128,,5,98.4,,- -,- -,,5,81.6,,5,112.7
QF_BV/brummayerbiere2/smulov4bw0032,,4,3.1,,- -,- -,,5,3.5,,4,3.2
QF_BV/gulwani-pldi08/fig1d.phx,,14,235.1,,20,119.1,,- -,- -,,16,212.8
QF_BV/gulwani-pldi08/fig5.phx,,9,83.6,,15,44.9,,14,103.3,,10,62.9
QF_BV/gulwani-pldi08/fig6.phx,,14,39.7,,30,38.5,,- -,- -,,16,36.7
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,9,69.4,,15,32.8,,13,148.2,,10,40.9
QF_BV/RWS/Example_1.txt,,57,147.2,,59,136.3,,141,275.1,,62,151.5
QF_BV/RWS/Example_2.txt,,29,88.7,,31,76.1,,40,95.3,,32,67.5
QF_BV/RWS/Example_4.txt,,13,39.7,,16,40.0,,18,39.1,,13,35.1
QF_BV/RWS/Example_5.txt,,12,27.6,,12,31.1,,16,39.2,,13,32.2
QF_BV/RWS/Example_6.txt,,9,16.9,,9,12.7,,17,24.8,,9,11.9
QF_BV/RWS/Example_14.txt,,69,303.6,,66,325.6,,197,935.5,,71,220.8
QF_BV/sage/app1/bench_1141,,5,10.5,,- -,- -,,5,6.2,,5,7.0
QF_BV/sage/app1/bench_1258,,1,0.0,,- -,- -,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,6,8.9,,966,1466.8,,7,13.0,,6,11.9
QF_BV/sage/app1/bench_1288,,5,7.3,,7,4.2,,7,16.8,,5,7.5
QF_BV/sage/app1/bench_1339,,5,6.4,,6,4.8,,7,5.9,,5,4.8
QF_BV/sage/app1/bench_1346,,5,5.6,,9,2.4,,6,7.6,,6,7.0
QF_BV/sage/app1/bench_1710,,4,0.1,,- -,- -,,5,0.3,,5,0.1
QF_BV/sage/app1/bench_1738,,7,0.1,,- -,- -,,5,0.1,,140,2.6
QF_BV/sage/app1/bench_1742,,4,0.3,,622,42.5,,4,0.3,,4,0.1
QF_BV/sage/app1/bench_1768,,3,0.1,,- -,- -,,4,0.1,,4,0.1
QF_BV/sage/app12/bench_228,,4,0.1,,- -,- -,,5,0.1,,4,0.1
QF_BV/sage/app12/bench_363,,3,0.4,,53,2.2,,3,0.2,,3,0.2
QF_BV/sage/app12/bench_446,,3,0.1,,- -,- -,,4,0.2,,3,0.1
