Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,6,52.1,,6,49.4,,6,145.8,,6,166.5
QF_BV/RWS/Example_8.txt,,5,13.0,,5,23.7,,5,45.4,,5,45.4
QF_BV/RWS/Example_9.txt,,6,197.1,,6,114.7,,6,332.7,,5,388.5
QF_BV/RWS/Example_10.txt,,7,96.3,,7,143.3,,7,415.5,,7,341.2
QF_BV/RWS/Example_11.txt,,10,1211.9,,10,3518.8,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,4,331.1,,5,513.3,,4,1064.8,,4,1602.3
QF_BV/RWS/Example_13.txt,,5,50.9,,5,51.6,,5,106.6,,5,147.9
QF_BV/RWS/Example_16.txt,,8,126.0,,8,61.6,,8,182.1,,8,161.3
QF_BV/RWS/Example_17.txt,,5,42.2,,5,82.7,,5,166.5,,5,254.2
QF_BV/sage/app1/bench_4,,2,123.9,,2,103.1,,2,265.9,,2,205.1
QF_BV/sage/app1/bench_29,,2,32.9,,2,38.0,,2,97.5,,2,68.5
QF_BV/sage/app1/bench_32,,2,31.9,,2,41.5,,2,36.7,,2,115.8
QF_BV/sage/app1/bench_37,,2,87.8,,2,189.5,,2,195.1,,2,205.6
QF_BV/sage/app1/bench_47,,2,35.2,,2,37.3,,2,54.5,,2,63.8
QF_BV/sage/app1/bench_52,,2,29.2,,2,28.3,,2,92.3,,2,65.2
QF_BV/sage/app1/bench_53,,2,35.7,,2,39.8,,2,55.0,,2,60.9
QF_BV/sage/app1/bench_54,,2,31.6,,2,38.3,,2,61.0,,2,62.5
QF_BV/sage/app1/bench_55,,2,60.9,,2,24.8,,2,125.7,,2,75.7
QF_BV/sage/app1/bench_60,,2,37.8,,2,40.4,,2,70.1,,2,58.9
QF_BV/sage/app1/bench_61,,2,33.0,,2,40.4,,2,54.8,,2,57.3
QF_BV/sage/app1/bench_62,,2,37.5,,2,43.0,,2,91.4,,2,67.5
QF_BV/sage/app1/bench_63,,2,27.0,,2,34.7,,2,55.2,,2,61.5
QF_BV/sage/app1/bench_66,,2,35.1,,2,36.2,,2,52.2,,2,68.6
QF_BV/sage/app1/bench_69,,2,29.1,,2,33.1,,2,48.2,,2,34.2
QF_BV/sage/app1/bench_99,,2,27.1,,2,33.2,,2,100.0,,2,57.1
QF_BV/sage/app1/bench_134,,2,28.9,,2,37.6,,2,47.3,,2,61.0
QF_BV/sage/app1/bench_169,,2,27.6,,2,27.1,,2,48.2,,2,33.2
QF_BV/sage/app1/bench_174,,2,18.9,,2,35.0,,2,47.8,,2,62.0
QF_BV/sage/app1/bench_175,,2,23.6,,2,30.9,,2,47.7,,2,41.2
QF_BV/sage/app1/bench_176,,2,28.6,,2,33.7,,2,48.5,,2,57.9
QF_BV/sage/app1/bench_177,,2,33.4,,2,66.1,,2,49.4,,2,37.9
QF_BV/sage/app1/bench_181,,2,89.9,,2,110.0,,2,276.9,,2,199.9
QF_BV/sage/app1/bench_182,,2,39.4,,2,31.2,,2,64.6,,2,54.9
QF_BV/sage/app1/bench_183,,2,29.5,,2,26.5,,2,49.9,,2,56.5
QF_BV/sage/app1/bench_184,,2,19.8,,2,34.2,,2,78.4,,2,59.7
QF_BV/sage/app1/bench_185,,2,37.7,,2,35.5,,2,48.3,,2,53.8
QF_BV/sage/app1/bench_188,,2,25.5,,2,35.3,,2,46.6,,2,35.6
QF_BV/sage/app1/bench_191,,2,28.1,,2,26.4,,2,47.1,,2,30.1
QF_BV/sage/app1/bench_201,,2,32.8,,2,35.6,,2,58.0,,2,39.4
QF_BV/sage/app1/bench_268,,2,27.0,,2,33.6,,2,48.7,,2,56.2
QF_BV/sage/app1/bench_310,,2,36.5,,2,38.4,,2,35.7,,2,116.5
QF_BV/sage/app1/bench_313,,2,37.4,,2,35.9,,2,31.2,,2,70.8
QF_BV/sage/app1/bench_329,,2,28.9,,2,39.0,,2,52.3,,2,66.1
QF_BV/sage/app1/bench_333,,2,35.7,,2,37.3,,2,45.1,,2,61.0
QF_BV/sage/app1/bench_334,,2,27.9,,2,40.9,,2,49.9,,2,63.0
