Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,117,691.3,,111,718.3,,99,1356.1,,91,733.5
QF_BV/RWS/Example_8.txt,,32,103.3,,34,76.3,,31,163.4,,30,180.7
QF_BV/RWS/Example_9.txt,,58,1141.8,,58,1509.5,,54,2444.0,,51,3000.1
QF_BV/RWS/Example_10.txt,,144,2033.8,,135,2721.7,,128,2568.3,,119,3238.1
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,105,1151.5,,97,1271.3,,89,3098.8,,83,2160.9
QF_BV/RWS/Example_16.txt,,96,919.5,,93,701.4,,85,1563.4,,82,3183.7
QF_BV/RWS/Example_17.txt,,90,864.4,,84,1259.8,,75,1777.0,,72,2541.8
QF_BV/sage/app1/bench_4,,15,339.3,,14,759.2,,14,757.8,,14,1123.8
QF_BV/sage/app1/bench_29,,19,224.0,,18,276.9,,16,296.8,,17,499.1
QF_BV/sage/app1/bench_32,,19,223.4,,17,289.4,,17,356.6,,16,416.6
QF_BV/sage/app1/bench_37,,16,552.0,,15,738.9,,15,518.2,,14,1007.9
QF_BV/sage/app1/bench_47,,19,187.1,,18,222.0,,18,312.6,,17,374.3
QF_BV/sage/app1/bench_52,,19,166.9,,19,247.4,,17,262.4,,18,409.4
QF_BV/sage/app1/bench_53,,18,173.1,,19,150.2,,16,262.4,,17,350.3
QF_BV/sage/app1/bench_54,,20,131.0,,19,419.6,,17,290.4,,18,264.8
QF_BV/sage/app1/bench_55,,18,156.6,,18,251.5,,17,335.7,,17,403.7
QF_BV/sage/app1/bench_60,,18,156.7,,18,228.7,,18,307.5,,17,360.5
QF_BV/sage/app1/bench_61,,19,234.7,,18,224.4,,18,311.3,,18,405.1
QF_BV/sage/app1/bench_62,,18,157.9,,20,255.2,,18,404.1,,18,382.2
QF_BV/sage/app1/bench_63,,18,161.3,,19,291.3,,18,273.5,,18,395.1
QF_BV/sage/app1/bench_66,,19,159.1,,17,208.9,,17,289.7,,18,380.0
QF_BV/sage/app1/bench_69,,20,194.3,,18,207.9,,17,282.6,,18,247.8
QF_BV/sage/app1/bench_99,,18,247.2,,19,129.2,,18,265.4,,16,296.5
QF_BV/sage/app1/bench_134,,18,165.6,,17,128.2,,17,288.6,,16,328.8
