Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/bench_ab/a403test0043,,9,0.1,,3,0.0,,3,0.0,,3,0.0
QF_BV/bench_ab/a481test0001,,1,0.0,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.1,,1,0.2
QF_BV/bench_ab/a639test0017,,219,1.3,,166,0.5,,33,0.3,,20,0.3
QF_BV/bench_ab/a651test0090,,42,0.1,,106,0.5,,18,0.2,,17,0.2
QF_BV/bench_ab/a655test0003,,33,0.1,,106,0.5,,25,0.2,,12,0.1
QF_BV/bench_ab/a659test0071,,149,0.3,,116,0.4,,28,0.2,,17,0.1
QF_BV/bench_ab/a668test0098,,3,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,4.8,,4,7.5,,4,4.7,,3,2.4
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,6.0,,3,3.2,,3,5.7,,3,7.4
QF_BV/bmc-bv/ex19,,679,2239.2,,382,2309.6,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,1.9,,5,3.6,,4,9.5,,4,24.1
QF_BV/bmc-bv/graycode,,1,0.7,,1,0.8,,1,1.4,,1,3.2
QF_BV/bmc-bv/inf1,,1,0.0,,1,0.0,,1,0.1,,1,0.2
QF_BV/bmc-bv/magic,,1,1.9,,1,3.2,,1,5.1,,1,8.9
QF_BV/bmc-bv/queens,,2,2.0,,2,5.4,,2,4.2,,2,7.7
QF_BV/bmc-bv/sudoku,,1,20.5,,1,13.7,,1,45.0,,1,78.4
QF_BV/brummayerbiere2/smulov4bw0256,,3,261.5,,4,758.0,,4,1004.9,,4,1345.2
QF_BV/brummayerbiere2/smulov4bw0064,,4,0.5,,4,3.6,,4,14.9,,3,22.1
QF_BV/brummayerbiere2/smulov4bw0128,,4,28.6,,4,69.4,,4,84.5,,4,130.8
QF_BV/brummayerbiere2/smulov4bw0032,,4,0.2,,4,0.5,,3,1.7,,3,4.0
