Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/bench_ab/a403test0043,,31,0.1,,4,0.0,,3,0.0,,4,0.1
QF_BV/bench_ab/a481test0001,,1,0.0,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.1,,1,0.2
QF_BV/bench_ab/a639test0017,,288,0.8,,183,0.9,,52,0.5,,26,0.4
QF_BV/bench_ab/a651test0090,,58,0.1,,142,0.3,,27,0.3,,20,0.4
QF_BV/bench_ab/a655test0003,,41,0.2,,166,0.4,,38,0.3,,19,0.1
QF_BV/bench_ab/a659test0071,,168,0.4,,170,0.3,,36,0.1,,20,0.2
QF_BV/bench_ab/a668test0098,,873,0.7,,3,0.0,,3,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,5,4.5,,5,3.1,,4,3.9,,5,3.8
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,5,6.9,,5,7.5,,5,5.8,,4,6.6
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,7,0.9,,6,3.1,,5,9.8,,5,28.6
QF_BV/bmc-bv/graycode,,4,1.9,,3,1.7,,3,4.0,,3,8.3
QF_BV/bmc-bv/inf1,,1,0.0,,1,0.0,,1,0.1,,1,0.2
QF_BV/bmc-bv/magic,,3,3.5,,3,6.9,,3,10.3,,3,14.5
QF_BV/bmc-bv/queens,,4,2.3,,4,4.6,,4,10.8,,4,15.3
QF_BV/bmc-bv/sudoku,,1,20.5,,1,13.7,,1,45.0,,1,78.4
QF_BV/brummayerbiere2/smulov4bw0256,,5,223.7,,5,1195.4,,5,1136.6,,5,1504.2
QF_BV/brummayerbiere2/smulov4bw0064,,5,0.8,,5,3.3,,4,14.8,,4,28.4
QF_BV/brummayerbiere2/smulov4bw0128,,5,23.0,,5,82.7,,5,94.4,,5,238.3
QF_BV/brummayerbiere2/smulov4bw0032,,5,0.4,,5,1.0,,4,3.1,,4,5.3
